AudioContext,AudioSentence,Item,Condition,Group,Type
contexto1.wav,Exp1-CONDA.wav,1,ChinComIntro,A,Experimental
contexto2.wav,Exp2-CONDB.wav,2,ChinSemIntro,A,Experimental
contexto3.wav,Exp3-CONDC.wav,3,Top,A,Experimental
contexto4.wav,Exp4-CONDA.wav,4,ChinComIntro,A,Experimental
contexto5.wav,Exp5-CONDB.wav,5,ChinSemIntro,A,Experimental
contexto6.wav,Exp6-CONDC.wav,6,Top,A,Experimental
contexto7.wav,Exp7-CONDA.wav,7,ChinComIntro,A,Experimental
contexto8.wav,Exp8-CONDB.wav,8,ChinSemIntro,A,Experimental
contexto9.wav,Exp9-CONDC.wav,9,Top,A,Experimental
contexto10.wav,Exp10-CONDA.wav,10,ChinComIntro,A,Experimental
contexto11.wav,Exp11-CONDB.wav,11,ChinSemIntro,A,Experimental
contexto12.wav,Exp12-CONDC.wav,12,Top,A,Experimental
contexto13.wav,Exp13-CONDA.wav,13,ChinComIntro,A,Experimental
contexto14.wav,Exp14-CONDB.wav,14,ChinSemIntro,A,Experimental
contexto15.wav,Exp15-CONDC.wav,15,Top,A,Experimental
contexto16.wav,Exp16-CONDA.wav,16,ChinComIntro,A,Experimental
contexto17.wav,Exp17-CONDB.wav,17,ChinSemIntro,A,Experimental
contexto18.wav,Exp18-CONDC.wav,18,Top,A,Experimental
contexto19.wav,Exp19-CONDA.wav,19,ChinComIntro,A,Experimental
contexto20.wav,Exp20-CONDB.wav,20,ChinSemIntro,A,Experimental
contexto21.wav,Exp21-CONDC.wav,21,Top,A,Experimental
contexto22.wav,Exp22-CONDA.wav,22,ChinComIntro,A,Experimental
contexto23.wav,Exp23-CONDB.wav,23,ChinSemIntro,A,Experimental
contexto24.wav,Exp24-CONDC.wav,24,Top,A,Experimental
ContDIST2.wav,DIST2.wav,26,DIST2,A,Filler
ContDIST3.wav,DIST3.wav,27,DIST3,A,Filler
ContDIST4.wav,DIST4.wav,28,DIST4,A,Filler
ContDIST5.wav,DIST5.wav,29,DIST5,A,Filler
ContDIST6.wav,DIST6.wav,30,DIST6,A,Filler
ContDIST7.wav,DIST7.wav,31,DIST7,A,Filler
ContDIST8.wav,DIST8.wav,32,DIST8,A,Filler
ContDIST9.wav,DIST9.wav,33,DIST9,A,Filler
ContDIST10.wav,DIST10.wav,34,DIST10,A,Filler
ContDIST11.wav,DIST11.wav,35,DIST11,A,Filler
ContDIST12.wav,DIST12.wav,36,DIST12,A,Filler
ContDIST13.wav,DIST13.wav,37,DIST13,A,Filler
